Tikal;Peten;Peten;Flores;Arqueologico;Sitio arqueologico maya;5;10
Basilica del Cristo Negro de Esquipulas;Nororiente;Chiquimula;Esquipulas;Religioso;Iglesia catolica;0;0
Lago de Atitlan;Suroccidente;Solola;Santiago Atitlan;Natural;Lago de agua dulce rodeado por tres volcanes;0;0
Palacio del Ayuntamiento;Central;Sacatepequez;Antigua Guatemala;Historico;Construccion del tiempo de la Colonia;0;5
Museo Nacional de Arquologia y Etnologia;Metropolitana;Guatemala;Guatemala;Historico;Museo que trata sobre ruinas mayas y la cultura guatemalteca;10;30
Semuc Champey;Norte;Alta Verapaz;Lanquin;Natural;Pozas de agua naturales;15;40
Quirigua;Nororiente;Izabal;Los Amates;Arqueologico;Yacimiento arqueologico del periodo clasico;5;20
Xocomil;Suroccidente;Retalhuleu;San Martin Zapotitlan;Recreativo;Parque Acuatico;100;100
Catarata de la Igualdad;Suroccidente;San Marcos;San Pablo;Natural;Caida de agua natural de mas de 80 m;30;50
Laguna Brava;Noroccidente;Huehuetenango;Nenton;Natural;Laguna de agua dulce rodeada por un espeso bosque;0;0
Centro Arqueologico Yaxha;Peten;Peten;Flores;Arqueologico;Sitio arqueologico del periodo clasico maya;0;10
Parque Ecologico Cascadas de Tatasirire;Suroriente;Jalapa;Jalapa;Natural;Caida de agua de mas de 30 m rodeada de una espesa jungla;30;30
Laguna de Ipala;Suroriente;Jutiapa;Agua Blanca;Natural;Laguna de agua dulce a las faldas de un volcan inactivo;0;0
Lago de Guija;Suroriente;Jutiapa;Asuncion Mita;Natural;Lago de agua dulce rodeado de una extensa planicie;0;0
Parque Ecologico Pino Dulce;Suroriente;Jalapa;Mataquescuintla;Natural;Parque natural donde se pueden realizar actividades como canopy, paseo a caballo o atravesar puentes colgantes;30;50
Pueblo de Chichicastenango;Noroccidente;Quiche;Chichicastenango;Cultural;Pueblo pintoresco donde se puede apreciar la cultura maya en su maximo esplendor;0;0
Zaculeu;Noroccidente;Huehuetenango;Huehuetenango;Arqueologico;Sitio arqueologico precolombino donde se pueden encontrar construcciones que fueron influenciadas por la cultura de Teotihuacan;5;50
Laguna Maxbal;Noroccidente;Huehuetenango;Santa Cruz Barillas;Natural;Laguna de agua dulce de 0.8 kilometros cuadrados de extension y una produndidad promedio de 12 m;0;0
Crater Azul;Peten;Peten;Sayaxche;Natural;Nacimiento de agua cristalina donde el visitante puede nadar rodeado de una exhuberante vegetacion;0;0
Playa El Chechenal;Peten;Peten;Flores;Natural;Playa de arena blanca a las orillas del lago Peten Itza;2;5
Reseva Natural Ranchitos del Quetzal;Norte;Baja Verapaz;Purulha;Natural;Reserva natural en la que se estima que viven hasta mas de 15 quetzales;15;30
Museo Regional del Trapiche;Norte;Baja Verapaz;San Jeronimo;Historico;Museo que resguarda piezas arqueologicas mayas, arte regional, e incluso cuenta con una exhibicion del proceso de fabricacion del azucar;10;10
Laguna Lachua;Norte;Alta Verapaz;Coban;Natural;Laguna de agua dulce de mas de 4 kilometros cuadrados asentada en medio de un espeso bosque;25;50
Fuentes Georginas;Suroccidente;Quetzaltenango;Zunil;Natural;Pozas de agua caliente recien salida del volcan;30;60
Parque Ecologico Chajil Siwan;Suroccidente;Totonicapan;Chuamazan;Natural;Parque ecologico que ofrece servicios de canopy, juegos infantiles, restaurantes con comida tradicional, entre otros.;10;15
Iglesia San Agustin Acasaguastlan;Nororiente;El Progreso;San Agustin Acasaguastlan;Historico;Iglesia catolica de fachada color blanco construida en 1542;0;0
Parque Ecologico El Boqueron;Nororiente;Izabal;El Estor;Natural;Parque ecologico que cuenta con paredes de roca de mas de 100 m de altura;5;5
Finca Los Girasoles;Nororiente;Chiquimula;Esquipulas;Natural;Finca llena de girasoles donde se puede alimentar caballos y ganado;10;10
Iximche;Central;Chimaltenango;Tecpan;Arqueologico;Sitio arqueologico que en el pasado fue la capital del reino maya kaqchikel;5;50
Volcan de Acatenango;Central;Chimaltenango;Acatenango;Natural;Volcan inactivo de mas de 3900 m de altura rodeado de bosques nubosos y desde el cual se tiene una hermosa vista del volcan de Fuego y de Agua.;50;50
Auto Safari Chapin;Central;Escuintla;Escuintla;Recreativo;Safari que se puede realizar sin bajar de su vehiculo. Se encuentran diversas especies procedentes de los 5 continentes;75;75
Museo Del Ferrocarril;Metropolitana;Guatemala;Guatemala;Historico;Museo que narra la historia de los trenes en Guatemala;1;1
Parque Nacional Naciones Unidas;Metropolitana;Guatemala;Villa Nueva;Natural;Parque ecologico de mas de 373 hectareas de extension. En el lugar se pueden encontrar exhibiciones culturales;10;25
Zoologico la Aurora;Metropolitana;Guatemala;Guatemala;Recreativo;Zoologico nacional donde se pueden encontrar mas de 50 especies de mamiferos. Ademas cuenta con un serpentario;30;30
Centro Civico;Metropolitana;Guatemala;Guatemala;Historico;Espacio publico donde se pueden encontrar varios edificios importantes como el Teatro Nacional, el Banco de Guatemala y la Municipalidad;0;0
